date_time,x,is_charging,battery_level
03-03-09-771_02-24-21_EST,3,False,33
03-03-16-932_02-24-21_EST,3,False,33
03-03-37-377_02-24-21_EST,3,False,31
03-04-05-918_02-24-21_EST,3,False,31
03-06-24-562_02-24-21_EST,3,False,31
03-09-32-179_02-24-21_EST,3,False,31
03-11-38-330_02-24-21_EST,3,False,31
03-17-18-869_02-24-21_EST,3,False,30
03-19-29-852_02-24-21_EST,3,False,30
03-26-19-204_02-24-21_EST,3,False,29
03-26-28-900_02-24-21_EST,3,False,29
03-26-28-964_02-24-21_EST,3,False,29
03-29-29-843_02-24-21_EST,3,False,29
03-30-36-882_02-24-21_EST,3,False,28
03-32-05-852_02-24-21_EST,3,False,28
03-34-36-252_02-24-21_EST,3,False,27
03-38-09-293_02-24-21_EST,3,False,26
03-39-29-807_02-24-21_EST,3,False,26
03-40-42-505_02-24-21_EST,3,False,25
03-42-20-363_02-24-21_EST,3,False,25
03-49-29-840_02-24-21_EST,3,False,25
03-49-33-677_02-24-21_EST,3,False,25
03-50-42-227_02-24-21_EST,3,False,25
03-51-27-259_02-24-21_EST,3,False,25
03-51-34-550_02-24-21_EST,3,False,25
03-53-58-507_02-24-21_EST,3,False,25
03-59-29-855_02-24-21_EST,3,False,24
03-59-46-296_02-24-21_EST,3,False,24
