date_time,x,is_charging,battery_level
03-00-06-440_03-03-21_EST,2,True,18
03-00-56-720_03-03-21_EST,2,True,18
03-01-06-417_03-03-21_EST,2,True,18
03-02-06-427_03-03-21_EST,2,True,19
03-03-06-420_03-03-21_EST,2,True,19
03-03-57-641_03-03-21_EST,2,True,20
03-03-59-916_03-03-21_EST,3,False,20
03-04-01-702_03-03-21_EST,3,False,20
03-04-34-046_03-03-21_EST,3,False,18
03-06-23-476_03-03-21_EST,3,False,18
03-06-57-062_03-03-21_EST,3,False,16
03-09-46-154_03-03-21_EST,3,False,16
03-09-47-599_03-03-21_EST,3,False,16
03-09-57-509_03-03-21_EST,3,False,16
03-10-01-958_03-03-21_EST,3,False,16
03-10-25-647_03-03-21_EST,3,False,16
03-11-17-060_03-03-21_EST,3,False,16
03-11-29-833_03-03-21_EST,3,False,15
03-12-16-355_03-03-21_EST,3,False,15
03-13-59-922_03-03-21_EST,3,False,15
03-23-59-904_03-03-21_EST,3,False,15
03-27-41-256_03-03-21_EST,3,False,15
03-29-46-132_03-03-21_EST,3,False,15
03-29-46-343_03-03-21_EST,4,False,15
03-29-46-574_03-03-21_EST,4,False,15
03-29-46-787_03-03-21_EST,2,True,15
03-29-46-883_03-03-21_EST,2,True,15
03-29-47-050_03-03-21_EST,2,True,15
03-29-48-200_03-03-21_EST,2,True,15
03-29-51-848_03-03-21_EST,2,True,15
03-30-16-618_03-03-21_EST,2,True,16
03-30-46-313_03-03-21_EST,2,True,16
03-30-55-312_03-03-21_EST,2,True,16
03-31-46-301_03-03-21_EST,2,True,17
03-31-56-750_03-03-21_EST,2,True,17
03-32-42-080_03-03-21_EST,2,True,18
03-32-46-308_03-03-21_EST,2,True,18
03-33-33-285_03-03-21_EST,2,True,19
03-33-46-313_03-03-21_EST,2,True,20
03-34-28-861_03-03-21_EST,2,True,20
03-34-46-312_03-03-21_EST,2,True,21
03-35-02-365_03-03-21_EST,2,True,21
03-35-27-350_03-03-21_EST,2,True,21
03-35-46-292_03-03-21_EST,2,True,22
03-36-30-283_03-03-21_EST,2,True,22
03-36-46-308_03-03-21_EST,2,True,22
03-37-36-127_03-03-21_EST,2,True,23
03-37-46-295_03-03-21_EST,2,True,24
03-38-46-308_03-03-21_EST,2,True,24
03-38-46-369_03-03-21_EST,2,True,24
03-39-37-498_03-03-21_EST,2,True,25
03-39-46-325_03-03-21_EST,2,True,25
03-39-59-585_03-03-21_EST,2,True,25
03-40-46-308_03-03-21_EST,2,True,26
03-41-17-133_03-03-21_EST,2,True,26
03-41-46-300_03-03-21_EST,2,True,27
03-42-40-582_03-03-21_EST,2,True,27
03-42-46-300_03-03-21_EST,2,True,27
03-43-46-303_03-03-21_EST,2,True,28
03-44-05-502_03-03-21_EST,2,True,28
03-44-46-340_03-03-21_EST,2,True,29
03-45-28-254_03-03-21_EST,2,True,29
03-45-30-258_03-03-21_EST,2,True,29
03-45-30-285_03-03-21_EST,2,True,29
03-45-33-078_03-03-21_EST,2,True,29
03-45-33-420_03-03-21_EST,2,True,29
03-45-38-649_03-03-21_EST,2,True,29
03-45-40-932_03-03-21_EST,2,True,29
03-45-46-268_03-03-21_EST,2,True,29
03-45-46-611_03-03-21_EST,2,True,29
03-45-52-892_03-03-21_EST,2,True,29
03-45-59-485_03-03-21_EST,2,True,29
03-46-06-685_03-03-21_EST,2,True,29
03-46-09-361_03-03-21_EST,2,True,30
03-46-14-321_03-03-21_EST,2,True,30
03-46-14-655_03-03-21_EST,2,True,30
03-46-19-257_03-03-21_EST,2,True,30
03-46-24-253_03-03-21_EST,2,True,30
03-46-29-159_03-03-21_EST,2,True,30
03-46-29-477_03-03-21_EST,2,True,30
03-46-44-511_03-03-21_EST,2,True,30
03-46-47-808_03-03-21_EST,2,True,30
03-46-47-852_03-03-21_EST,2,True,30
03-46-49-610_03-03-21_EST,2,True,30
03-46-50-034_03-03-21_EST,2,True,30
03-46-50-514_03-03-21_EST,2,True,30
03-46-53-916_03-03-21_EST,2,True,30
03-46-54-250_03-03-21_EST,2,True,30
03-46-58-867_03-03-21_EST,2,True,30
03-47-03-858_03-03-21_EST,2,True,30
03-47-08-766_03-03-21_EST,2,True,30
03-47-08-860_03-03-21_EST,2,True,30
03-47-13-713_03-03-21_EST,2,True,30
03-47-18-695_03-03-21_EST,2,True,30
03-47-23-620_03-03-21_EST,2,True,31
03-47-28-548_03-03-21_EST,2,True,31
03-47-33-492_03-03-21_EST,2,True,31
03-47-33-847_03-03-21_EST,2,True,31
03-47-38-450_03-03-21_EST,2,True,31
03-47-45-028_03-03-21_EST,2,True,31
03-47-46-290_03-03-21_EST,2,True,31
03-47-51-630_03-03-21_EST,2,True,31
03-47-58-222_03-03-21_EST,2,True,31
03-48-04-799_03-03-21_EST,2,True,31
03-48-11-404_03-03-21_EST,2,True,31
03-48-18-028_03-03-21_EST,2,True,31
03-48-26-249_03-03-21_EST,2,True,31
03-48-34-456_03-03-21_EST,2,True,31
03-48-41-282_03-03-21_EST,2,True,31
03-48-43-036_03-03-21_EST,2,True,31
03-48-46-325_03-03-21_EST,2,True,31
